ObservedAgentID;CounterpartyID;ContractID;InstrumentID;CounterpartyRole;CounterpartyRoleEndDate;CollectiveDebtSettlementStatus
444555999;444555999;220-00-03460-04;220000000000;1;;
444555999;444555999;220-00-03460-04;220000000000;7;;
444555999;220-00-03460-04_1;220-00-03460-04;220000000000;2;;
444555999;444555999;220-00-03475-19;220000000000;1;;
444555999;444555999;220-00-03475-19;220000000000;7;;
444555999;220-00-03475-19_1;220-00-03475-19;220000000000;2;;
444555999;444555999;220-00-03500-44;220000000000;1;;
444555999;444555999;220-00-03500-44;220000000000;7;;
444555999;220-00-03500-44_1;220-00-03500-44;220000000000;2;;
444555999;444555999;220-00-03505-49;220000000000;1;;
444555999;444555999;220-00-03505-49;220000000000;7;;
444555999;220-00-03505-49_1;220-00-03505-49;220000000000;2;;
444555999;220-00-03505-49_2;220-00-03505-49;220000000000;2;;
444555999;444555999;220-00-03508-52;220000000000;1;;
444555999;444555999;220-00-03508-52;220000000000;7;;
444555999;220-00-03508-52_1;220-00-03508-52;220000000000;2;;
444555999;444555999;220-00-03522-66;220000000000;1;;
444555999;444555999;220-00-03522-66;220000000000;7;;
444555999;220-00-03522-66_1;220-00-03522-66;220000000000;2;;
444555999;220-00-03522-66_2;220-00-03522-66;220000000000;2;;
444555999;444555999;220-00-03527-71;220000000000;1;;
444555999;444555999;220-00-03527-71;220000000000;7;;
444555999;220-00-03527-71_1;220-00-03527-71;220000000000;2;;
444555999;220-00-03527-71_2;220-00-03527-71;220000000000;2;;
444555999;444555999;220-00-03528-72;220000000000;1;;
444555999;444555999;220-00-03528-72;220000000000;7;;
444555999;220-00-03528-72_1;220-00-03528-72;220000000000;2;;
444555999;220-00-03528-72_2;220-00-03528-72;220000000000;2;;
444555999;444555999;220-00-03532-76;220000000000;1;;
444555999;444555999;220-00-03532-76;220000000000;7;;
444555999;220-00-03532-76_1;220-00-03532-76;220000000000;2;;
444555999;444555999;220-00-03539-83;220000000000;1;;
444555999;444555999;220-00-03539-83;220000000000;7;;
444555999;220-00-03539-83_1;220-00-03539-83;220000000000;2;;
444555999;444555999;220-00-03542-86;220000000000;1;;
444555999;444555999;220-00-03542-86;220000000000;7;;
444555999;220-00-03542-86_1;220-00-03542-86;220000000000;2;;
444555999;220-00-03542-86_2;220-00-03542-86;220000000000;2;;
444555999;444555999;220-00-03543-87;220000000000;1;;
444555999;444555999;220-00-03543-87;220000000000;7;;
444555999;220-00-03543-87_1;220-00-03543-87;220000000000;2;;
444555999;220-00-03543-87_2;220-00-03543-87;220000000000;2;;
444555999;444555999;220-00-03545-89;220000000000;1;;
444555999;444555999;220-00-03545-89;220000000000;7;;
444555999;220-00-03545-89_1;220-00-03545-89;220000000000;2;;
444555999;444555999;220-00-03546-90;220000000000;1;;
444555999;444555999;220-00-03546-90;220000000000;7;;
444555999;220-00-03546-90_1;220-00-03546-90;220000000000;2;;
444555999;220-00-03546-90_2;220-00-03546-90;220000000000;2;;
444555999;444555999;220-00-03556-03;220000000000;1;;
444555999;444555999;220-00-03556-03;220000000000;7;;
444555999;220-00-03556-03_1;220-00-03556-03;220000000000;2;;
444555999;444555999;220-00-03564-11;220000000000;1;;
444555999;444555999;220-00-03564-11;220000000000;7;;
444555999;220-00-03564-11_1;220-00-03564-11;220000000000;2;;
444555999;220-00-03564-11_2;220-00-03564-11;220000000000;2;;
444555999;444555999;220-00-03565-12;220000000000;1;;
444555999;444555999;220-00-03565-12;220000000000;7;;
444555999;220-00-03565-12_1;220-00-03565-12;220000000000;2;;
444555999;220-00-03565-12_2;220-00-03565-12;220000000000;2;;
444555999;444555999;220-00-03573-20;220000000000;1;;
444555999;444555999;220-00-03573-20;220000000000;7;;
444555999;220-00-03573-20_1;220-00-03573-20;220000000000;2;;
444555999;220-00-03573-20_2;220-00-03573-20;220000000000;2;;
444555999;444555999;220-00-03579-26;220000000000;1;;
444555999;444555999;220-00-03579-26;220000000000;7;;
444555999;220-00-03579-26_1;220-00-03579-26;220000000000;2;;
444555999;220-00-03579-26_2;220-00-03579-26;220000000000;2;;
444555999;444555999;220-00-03582-29;220000000000;1;;
444555999;444555999;220-00-03582-29;220000000000;7;;
444555999;220-00-03582-29_1;220-00-03582-29;220000000000;2;;
444555999;220-00-03582-29_2;220-00-03582-29;220000000000;2;;
444555999;444555999;220-00-03591-38;220000000000;1;;
444555999;444555999;220-00-03591-38;220000000000;7;;
444555999;220-00-03591-38_1;220-00-03591-38;220000000000;2;;
444555999;220-00-03591-38_2;220-00-03591-38;220000000000;2;;
444555999;444555999;220-00-03592-39;220000000000;1;;
444555999;444555999;220-00-03592-39;220000000000;7;;
444555999;220-00-03592-39_1;220-00-03592-39;220000000000;2;;
444555999;444555999;220-00-03595-42;220000000000;1;;
444555999;444555999;220-00-03595-42;220000000000;7;;
444555999;220-00-03595-42_1;220-00-03595-42;220000000000;2;;
444555999;444555999;220-00-03597-44;220000000000;1;;
444555999;444555999;220-00-03597-44;220000000000;7;;
444555999;220-00-03597-44_1;220-00-03597-44;220000000000;2;;
444555999;220-00-03597-44_2;220-00-03597-44;220000000000;2;;
444555999;444555999;220-00-03603-50;220000000000;1;;
444555999;444555999;220-00-03603-50;220000000000;7;;
444555999;220-00-03603-50_1;220-00-03603-50;220000000000;2;;
444555999;220-00-03603-50_2;220-00-03603-50;220000000000;2;;
444555999;444555999;220-00-03612-59;220000000000;1;;
444555999;444555999;220-00-03612-59;220000000000;7;;
444555999;220-00-03612-59_1;220-00-03612-59;220000000000;2;;
444555999;220-00-03612-59_2;220-00-03612-59;220000000000;2;;
444555999;444555999;220-00-03614-61;220000000000;1;;
444555999;444555999;220-00-03614-61;220000000000;7;;
444555999;220-00-03614-61_1;220-00-03614-61;220000000000;2;;
444555999;444555999;220-00-03620-67;220000000000;1;;
444555999;444555999;220-00-03620-67;220000000000;7;;
444555999;220-00-03620-67_1;220-00-03620-67;220000000000;2;;
444555999;444555999;220-00-03631-78;220000000000;1;;
444555999;444555999;220-00-03631-78;220000000000;7;;
444555999;220-00-03631-78_1;220-00-03631-78;220000000000;2;;
444555999;220-00-03631-78_2;220-00-03631-78;220000000000;2;;
444555999;444555999;220-00-03632-79;220000000000;1;;
444555999;444555999;220-00-03632-79;220000000000;7;;
444555999;220-00-03632-79_1;220-00-03632-79;220000000000;2;;
444555999;220-00-03632-79_2;220-00-03632-79;220000000000;2;;
444555999;444555999;220-00-03634-81;220000000000;1;;
444555999;444555999;220-00-03634-81;220000000000;7;;
444555999;220-00-03634-81_1;220-00-03634-81;220000000000;2;;
444555999;444555999;220-00-03635-82;220000000000;1;;
444555999;444555999;220-00-03635-82;220000000000;7;;
444555999;220-00-03635-82_1;220-00-03635-82;220000000000;2;;
444555999;444555999;220-00-03637-84;220000000000;1;;
444555999;444555999;220-00-03637-84;220000000000;7;;
444555999;220-00-03637-84_1;220-00-03637-84;220000000000;2;;
444555999;220-00-03637-84_2;220-00-03637-84;220000000000;2;;
444555999;444555999;220-00-03641-88;220000000000;1;;
444555999;444555999;220-00-03641-88;220000000000;7;;
444555999;220-00-03641-88_1;220-00-03641-88;220000000000;2;;
444555999;220-00-03641-88_2;220-00-03641-88;220000000000;2;2022-09-10;
444555999;444555999;220-00-03644-91;220000000000;1;2022-09-10;
444555999;444555999;220-00-03644-91;220000000000;7;2022-09-10;
444555999;220-00-03644-91_1;220-00-03644-91;220000000000;2;;
444555999;444555999;220-00-03649-96;220000000000;1;;
444555999;444555999;220-00-03649-96;220000000000;7;;
444555999;220-00-03649-96_1;220-00-03649-96;220000000000;2;;
444555999;444555999;220-00-03654-04;220000000000;1;;
444555999;444555999;220-00-03654-04;220000000000;7;;
444555999;220-00-03654-04_1;220-00-03654-04;220000000000;2;;
444555999;220-00-03654-04_2;220-00-03654-04;220000000000;2;;
444555999;444555999;220-00-03655-05;220000000000;1;;
444555999;444555999;220-00-03655-05;220000000000;7;;
444555999;220-00-03655-05_1;220-00-03655-05;220000000000;2;;
444555999;220-00-03655-05_2;220-00-03655-05;220000000000;2;;
444555999;444555999;220-00-03656-06;220000000000;1;;
444555999;444555999;220-00-03656-06;220000000000;7;;
444555999;220-00-03656-06_1;220-00-03656-06;220000000000;2;;
444555999;220-00-03656-06_2;220-00-03656-06;220000000000;2;;
444555999;444555999;220-00-03662-12;220000000000;1;;
444555999;444555999;220-00-03662-12;220000000000;7;;
444555999;220-00-03662-12_1;220-00-03662-12;220000000000;2;;
444555999;444555999;220-00-03684-34;220000000000;1;;
444555999;444555999;220-00-03684-34;220000000000;7;;
444555999;220-00-03684-34_1;220-00-03684-34;220000000000;2;;
444555999;220-00-03684-34_2;220-00-03684-34;220000000000;2;;
444555999;444555999;220-00-03690-40;220000000000;1;;
444555999;444555999;220-00-03690-40;220000000000;7;;
444555999;220-00-03690-40_1;220-00-03690-40;220000000000;2;;
444555999;220-00-03690-40_2;220-00-03690-40;220000000000;2;;
444555999;444555999;220-00-03697-47;220000000000;1;;
444555999;444555999;220-00-03697-47;220000000000;7;;
444555999;220-00-03697-47_1;220-00-03697-47;220000000000;2;;
444555999;220-00-03697-47_2;220-00-03697-47;220000000000;2;;
444555999;444555999;220-00-03703-53;220000000000;1;;
444555999;444555999;220-00-03703-53;220000000000;7;;
444555999;220-00-03703-53_1;220-00-03703-53;220000000000;2;;
444555999;220-00-03703-53_2;220-00-03703-53;220000000000;2;;
444555999;444555999;220-00-03724-74;220000000000;1;;
444555999;444555999;220-00-03724-74;220000000000;7;;
444555999;220-00-03724-74_1;220-00-03724-74;220000000000;2;;
444555999;220-00-03724-74_2;220-00-03724-74;220000000000;2;;
444555999;444555999;220-00-03738-88;220000000000;1;;
444555999;444555999;220-00-03738-88;220000000000;7;;
444555999;220-00-03738-88_1;220-00-03738-88;220000000000;2;;
444555999;220-00-03738-88_2;220-00-03738-88;220000000000;2;;
444555999;444555999;220-00-03740-90;220000000000;1;;
444555999;444555999;220-00-03740-90;220000000000;7;;
444555999;220-00-03740-90_1;220-00-03740-90;220000000000;2;;
444555999;220-00-03740-90_2;220-00-03740-90;220000000000;2;;
444555999;444555999;220-00-03748-01;220000000000;1;;
444555999;444555999;220-00-03748-01;220000000000;7;;
444555999;220-00-03748-01_1;220-00-03748-01;220000000000;2;;
444555999;220-00-03748-01_2;220-00-03748-01;220000000000;2;;
444555999;444555999;220-00-03754-07;220000000000;1;;
444555999;444555999;220-00-03754-07;220000000000;7;;
444555999;220-00-03754-07_1;220-00-03754-07;220000000000;2;;
444555999;220-00-03754-07_2;220-00-03754-07;220000000000;2;;
444555999;444555999;220-00-03756-09;220000000000;1;;
444555999;444555999;220-00-03756-09;220000000000;7;;
444555999;220-00-03756-09_1;220-00-03756-09;220000000000;2;;
444555999;444555999;220-00-03763-16;220000000000;1;;
444555999;444555999;220-00-03763-16;220000000000;7;;
444555999;220-00-03763-16_1;220-00-03763-16;220000000000;2;;
444555999;220-00-03763-16_2;220-00-03763-16;220000000000;2;;
444555999;444555999;220-00-03768-21;220000000000;1;;
444555999;444555999;220-00-03768-21;220000000000;7;;
444555999;220-00-03768-21_1;220-00-03768-21;220000000000;2;;
444555999;220-00-03768-21_2;220-00-03768-21;220000000000;2;;
444555999;444555999;220-00-03770-23;220000000000;1;;
444555999;444555999;220-00-03770-23;220000000000;7;;
444555999;220-00-03770-23_1;220-00-03770-23;220000000000;2;;
444555999;444555999;220-00-03774-27;220000000000;1;;
444555999;444555999;220-00-03774-27;220000000000;7;;
444555999;220-00-03774-27_1;220-00-03774-27;220000000000;2;;
444555999;444555999;220-00-03780-33;220000000000;1;;
444555999;444555999;220-00-03780-33;220000000000;7;;
444555999;220-00-03780-33_1;220-00-03780-33;220000000000;2;;
444555999;220-00-03780-33_2;220-00-03780-33;220000000000;2;;
444555999;444555999;220-00-03781-34;220000000000;1;;
444555999;444555999;220-00-03781-34;220000000000;7;;
444555999;220-00-03781-34_1;220-00-03781-34;220000000000;2;;
444555999;220-00-03781-34_2;220-00-03781-34;220000000000;2;;
444555999;444555999;220-00-03784-37;220000000000;1;;
444555999;444555999;220-00-03784-37;220000000000;7;;
444555999;220-00-03784-37_1;220-00-03784-37;220000000000;2;;
444555999;220-00-03784-37_2;220-00-03784-37;220000000000;2;;
444555999;444555999;220-00-03792-45;220000000000;1;;
444555999;444555999;220-00-03792-45;220000000000;7;;
444555999;220-00-03792-45_1;220-00-03792-45;220000000000;2;;
444555999;444555999;220-00-03800-53;220000000000;1;;
444555999;444555999;220-00-03800-53;220000000000;7;;
444555999;220-00-03800-53_1;220-00-03800-53;220000000000;2;;
444555999;220-00-03800-53_2;220-00-03800-53;220000000000;2;;
444555999;444555999;220-00-03803-56;220000000000;1;;
444555999;444555999;220-00-03803-56;220000000000;7;;
444555999;220-00-03803-56_1;220-00-03803-56;220000000000;2;;
444555999;444555999;220-00-03804-57;220000000000;1;;
444555999;444555999;220-00-03804-57;220000000000;7;;
444555999;220-00-03804-57_1;220-00-03804-57;220000000000;2;;
444555999;220-00-03804-57_2;220-00-03804-57;220000000000;2;;
444555999;444555999;220-00-03807-60;220000000000;1;;
444555999;444555999;220-00-03807-60;220000000000;7;;
444555999;220-00-03807-60_1;220-00-03807-60;220000000000;2;;
444555999;220-00-03807-60_2;220-00-03807-60;220000000000;2;;
444555999;444555999;220-00-03809-62;220000000000;1;;
444555999;444555999;220-00-03809-62;220000000000;7;;
444555999;220-00-03809-62_1;220-00-03809-62;220000000000;2;;
444555999;220-00-03809-62_2;220-00-03809-62;220000000000;2;;
444555999;444555999;220-00-03820-73;220000000000;1;;
444555999;444555999;220-00-03820-73;220000000000;7;;
444555999;220-00-03820-73_1;220-00-03820-73;220000000000;2;;
444555999;220-00-03820-73_2;220-00-03820-73;220000000000;2;;
444555999;444555999;220-00-03821-74;220000000000;1;;
444555999;444555999;220-00-03821-74;220000000000;7;;
444555999;220-00-03821-74_1;220-00-03821-74;220000000000;2;;
444555999;220-00-03821-74_2;220-00-03821-74;220000000000;2;;
444555999;444555999;220-00-03822-75;220000000000;1;;
444555999;444555999;220-00-03822-75;220000000000;7;;
444555999;220-00-03822-75_1;220-00-03822-75;220000000000;2;;
444555999;444555999;220-00-03824-77;220000000000;1;;
444555999;444555999;220-00-03824-77;220000000000;7;;
444555999;220-00-03824-77_1;220-00-03824-77;220000000000;2;;
444555999;220-00-03824-77_2;220-00-03824-77;220000000000;2;;
444555999;444555999;220-00-03828-81;220000000000;1;;
444555999;444555999;220-00-03828-81;220000000000;7;;
444555999;220-00-03828-81_1;220-00-03828-81;220000000000;2;;
444555999;220-00-03828-81_2;220-00-03828-81;220000000000;2;;
444555999;444555999;220-00-03831-84;220000000000;1;;
444555999;444555999;220-00-03831-84;220000000000;7;;
444555999;220-00-03831-84_1;220-00-03831-84;220000000000;2;;
444555999;444555999;220-00-03832-85;220000000000;1;;
444555999;444555999;220-00-03832-85;220000000000;7;;
444555999;220-00-03832-85_1;220-00-03832-85;220000000000;2;;
444555999;220-00-03832-85_2;220-00-03832-85;220000000000;2;;
444555999;444555999;220-00-03834-87;220000000000;1;;
444555999;444555999;220-00-03834-87;220000000000;7;;
444555999;220-00-03834-87_1;220-00-03834-87;220000000000;2;;
444555999;220-00-03834-87_2;220-00-03834-87;220000000000;2;;
444555999;444555999;220-00-03838-91;220000000000;1;;
444555999;444555999;220-00-03838-91;220000000000;7;;
444555999;220-00-03838-91_1;220-00-03838-91;220000000000;2;;
444555999;220-00-03838-91_2;220-00-03838-91;220000000000;2;;
444555999;444555999;220-00-03842-95;220000000000;1;;
444555999;444555999;220-00-03842-95;220000000000;7;;
444555999;220-00-03842-95_1;220-00-03842-95;220000000000;2;;
444555999;444555999;220-00-03843-96;220000000000;1;;
444555999;444555999;220-00-03843-96;220000000000;7;;
444555999;220-00-03843-96_1;220-00-03843-96;220000000000;2;;
444555999;444555999;220-00-03847-03;220000000000;1;;
444555999;444555999;220-00-03847-03;220000000000;7;;
444555999;220-00-03847-03_1;220-00-03847-03;220000000000;2;;
444555999;444555999;220-00-03848-04;220000000000;1;;
444555999;444555999;220-00-03848-04;220000000000;7;;
444555999;220-00-03848-04_1;220-00-03848-04;220000000000;2;;
444555999;444555999;220-00-03851-07;220000000000;1;;
444555999;444555999;220-00-03851-07;220000000000;7;;
444555999;220-00-03851-07_1;220-00-03851-07;220000000000;2;;
444555999;220-00-03851-07_2;220-00-03851-07;220000000000;2;;
444555999;444555999;220-00-03852-08;220000000000;1;;
444555999;444555999;220-00-03852-08;220000000000;7;;
444555999;220-00-03852-08_1;220-00-03852-08;220000000000;2;;
444555999;220-00-03852-08_2;220-00-03852-08;220000000000;2;;
444555999;444555999;220-00-03853-09;220000000000;1;;
444555999;444555999;220-00-03853-09;220000000000;7;;
444555999;220-00-03853-09_1;220-00-03853-09;220000000000;2;;
444555999;220-00-03853-09_2;220-00-03853-09;220000000000;2;;
444555999;444555999;220-00-03854-10;220000000000;1;;
444555999;444555999;220-00-03854-10;220000000000;7;;
444555999;220-00-03854-10_1;220-00-03854-10;220000000000;2;;
444555999;444555999;220-00-03855-11;220000000000;1;;
444555999;444555999;220-00-03855-11;220000000000;7;;
444555999;220-00-03855-11_1;220-00-03855-11;220000000000;2;;
444555999;220-00-03855-11_2;220-00-03855-11;220000000000;2;;
444555999;444555999;220-00-03856-12;220000000000;1;;
444555999;444555999;220-00-03856-12;220000000000;7;;
444555999;220-00-03856-12_1;220-00-03856-12;220000000000;2;;
444555999;444555999;220-00-03857-13;220000000000;1;;
444555999;444555999;220-00-03857-13;220000000000;7;;
444555999;220-00-03857-13_1;220-00-03857-13;220000000000;2;;
444555999;220-00-03857-13_2;220-00-03857-13;220000000000;2;;
444555999;444555999;220-00-03859-15;220000000000;1;;
444555999;444555999;220-00-03859-15;220000000000;7;;
444555999;220-00-03859-15_1;220-00-03859-15;220000000000;2;;
444555999;444555999;220-00-03860-16;220000000000;1;;
444555999;444555999;220-00-03860-16;220000000000;7;;
444555999;220-00-03860-16_1;220-00-03860-16;220000000000;2;;
444555999;444555999;220-00-03861-17;220000000000;1;;
444555999;444555999;220-00-03861-17;220000000000;7;;
444555999;220-00-03861-17_1;220-00-03861-17;220000000000;2;;
444555999;220-00-03861-17_2;220-00-03861-17;220000000000;2;;
444555999;444555999;220-00-03862-18;220000000000;1;;
444555999;444555999;220-00-03862-18;220000000000;7;;
444555999;220-00-03862-18_1;220-00-03862-18;220000000000;2;;
444555999;444555999;220-00-03864-20;220000000000;1;;
444555999;444555999;220-00-03864-20;220000000000;7;;
444555999;220-00-03864-20_1;220-00-03864-20;220000000000;2;;
444555999;220-00-03864-20_2;220-00-03864-20;220000000000;2;;
444555999;444555999;220-00-03865-21;220000000000;1;;
444555999;444555999;220-00-03865-21;220000000000;7;;
444555999;220-00-03865-21_1;220-00-03865-21;220000000000;2;;
444555999;220-00-03865-21_2;220-00-03865-21;220000000000;2;;
444555999;444555999;220-00-03866-22;220000000000;1;;
444555999;444555999;220-00-03866-22;220000000000;7;;
444555999;220-00-03866-22_1;220-00-03866-22;220000000000;2;;
444555999;220-00-03866-22_2;220-00-03866-22;220000000000;2;;
444555999;444555999;220-00-03868-24;220000000000;1;;
444555999;444555999;220-00-03868-24;220000000000;7;;
444555999;220-00-03868-24_1;220-00-03868-24;220000000000;2;;
444555999;220-00-03868-24_2;220-00-03868-24;220000000000;2;;
444555999;444555999;220-00-03872-28;220000000000;1;;
444555999;444555999;220-00-03872-28;220000000000;7;;
444555999;220-00-03872-28_1;220-00-03872-28;220000000000;2;;
444555999;444555999;220-00-03873-29;220000000000;1;;
